Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
233717140,Good People,Patmeena Sabit,"Sabit, Patmeena",,"=""0593801067""","=""9780593801062""",0,4.26,Crown,Hardcover,400,2026,2026,2026/02/27,2026/02/27,,,read,,,,1,0
23209971,Girl at War,Sara Nović,"Nović, Sara",,"=""0812996348""","=""9780812996340""",0,4.02,Random House,Hardcover,320,2015,2015,2026/02/15,2026/02/15,,,read,,,,1,0
217163697,My Friends,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""1982112824""","=""9781982112820""",0,4.36,Atria Books,Hardcover,436,2025,2025,2026/02/09,2026/01/29,,,read,,,,1,0
52085140,The Unselected Journals of Emma M. Lion: Vol. 1,Beth Brower,"Brower, Beth",,"=""0998063614""","=""9780998063614""",0,4.08,Rhysdon Press,Paperback,125,2019,2019,2026/01/28,2026/01/29,,,read,,,,1,0
61346151,The White Lady,Jacqueline Winspear,"Winspear, Jacqueline",,"=""0062867989""","=""9780062867988""",0,4.07,Harper,Hardcover,321,2023,2023,2026/01/26,2026/01/29,,,read,,,,1,0
39087664,"The American Agent (Maisie Dobbs, #15)",Jacqueline Winspear,"Winspear, Jacqueline",,"=""0062436694""","=""9780062436696""",0,4.32,Harper,ebook,400,2019,2019,2026/01/20,2026/01/20,,,read,,,,1,0
60899502,"A World of Curiosities (Chief Inspector Armand Gamache, #18)",Louise Penny,"Penny, Louise",,"=""1250145295""","=""9781250145291""",0,4.44,Minotaur Books,Hardcover,390,2022,2022,2026/01/14,2026/01/10,,,read,,,,1,0
17167084,"How the Light Gets In (Chief Inspector Armand Gamache, #9)",Louise Penny,"Penny, Louise",,"=""0312655479""","=""9780312655471""",0,4.48,Minotaur Books,Hardcover,405,2013,2013,2026/01/07,2026/01/10,,,read,,,,1,0
220239083,"A Marriage at Sea: A True Story of Love, Obsession, and Shipwreck",Sophie Elmhirst,"Elmhirst, Sophie",,"=""0593854284""","=""9780593854280""",0,3.84,Riverhead Books,Hardcover,256,2025,2024,2025/07/30,2025/07/30,,,read,,,,1,0
218671850,So Far Gone,Jess Walter,"Walter, Jess",,"=""0062868144""","=""9780062868145""",0,3.94,Harper,Hardcover,257,2025,2025,2025/07/11,2025/07/11,,,read,,,,1,0
2956,"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)",Mark Twain,"Twain, Mark","Guy Cardwell, E.W. Kemble, John Seelye, Walter Trier, Tom Wilson, William Little Hughes","=""0142437174""","=""9780142437179""",0,3.83,Penguin Classics,Paperback,327,2002,1885,2025/07/02,2025/07/02,,,read,,,,1,0
173754979,James,Percival Everett,"Everett, Percival",,"=""0385550367""","=""9780385550369""",0,4.43,Knopf Doubleday,Hardcover,303,2024,2024,2025/06/24,2025/06/24,,,read,,,,1,0
217245618,The Names,Florence Knapp,"Knapp, Florence",,"=""0593833902""","=""9780593833902""",0,4.14,Pamela Dorman Books,Hardcover,328,2025,2025,2025/06/13,2025/06/21,,,read,,,,1,0
55650158,Take My Hand,Dolen Perkins-Valdez,"Perkins-Valdez, Dolen",,"=""0593337697""","=""9780593337691""",0,4.36,Berkley,Hardcover,368,2022,2022,2025/06/20,2025/06/20,,,read,,,,1,0
219848315,The Emperor of Gladness,Ocean Vuong,"Vuong, Ocean",,"=""059383187X""","=""9780593831878""",0,3.89,Penguin Press,Hardcover,402,2025,2025,2025/06/07,2025/06/07,,,read,,,,1,0
10023183,A Woman of Consequence (A Dido Kent Mystery #3),Anna Dean,"Dean, Anna",,"=""0749008199""","=""9780749008192""",0,3.94,a&b,Hardcover,384,2010,2010,,2025/04/10,did-not-finish,did-not-finish (#53),did-not-finish,,,,1,0
40595446,A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,Sonia Purnell,"Purnell, Sonia",,"=""073522529X""","=""9780735225299""",0,4.15,Viking,Hardcover,352,2019,2019,2025/04/17,2025/05/24,,,read,,,,1,0
60784605,Maame,Jessica George,"George, Jessica",,"=""""","=""""",0,4.05,St. Martin's Press,Hardcover,320,2023,2023,2025/05/21,2025/05/21,,,read,,,,1,0
216970860,Girl on Girl: How Pop Culture Turned a Generation of Women Against Themselves,Sophie Gilbert,"Gilbert, Sophie",,"=""0593656296""","=""9780593656297""",0,3.91,Penguin Press,Hardcover,352,2025,2025,2025/05/10,2025/05/10,,,read,,,,1,0
55098820,My Heart,Semezdin Mehmedinović,"Mehmedinović, Semezdin","Celia Hawkesworth, Aleksandar Hemon","=""1646220072""","=""9781646220076""",0,4.30,Catapult,Hardcover,228,2021,2021,,2021/04/23,to-read,to-read (#31),to-read,,,,0,0
197798168,All Fours,Miranda July,"July, Miranda",,"=""0593190262""","=""9780593190265""",5,3.40,Riverhead Books,Hardcover,336,2024,2024,2025/04/26,2025/04/24,,,read,,,,1,0
28505023,The Fire This Time: A New Generation Speaks About Race,Jesmyn Ward,"Ward, Jesmyn",,"=""1501126342""","=""9781501126345""",0,4.35,Scribner,Hardcover,226,2016,2016,2025/04/17,2025/04/17,,,read,,,,1,0
216818514,"Mad House: How Donald Trump, MAGA Mean Girls, a Former Used Car Salesman, a Florida Nepo Baby, and a Man with Rats in His Walls Broke Congress",Annie Karni,"Karni, Annie",Luke Broadwater,"=""0593731263""","=""9780593731260""",3,4.03,Random House,Hardcover,320,2025,,2025/04/04,2025/04/03,,,read,,,,1,0
214537790,The Antidote,Karen Russell,"Russell, Karen",,"=""059380225X""","=""9780593802250""",0,3.90,Knopf,Hardcover,432,2025,2025,2025/03/31,2025/03/31,,,read,,,,1,0
